state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.35048	7.54628	1.97508	0.98224	2.04179	3.64045	4.30383	0.98638
2	71.01193	0.17118	0.41092	0.72292	0.51454	0.33571	0.49045	1.17187
3	4.08224	0.47542	0.76854	0.65581	0.75808	0.46234	0.52673	1.30208
4	6.92168	0.81797	4.87138	2.24179	4.01887	0.48239	0.63124	0.32845
5	9.92995	0.34626	1.39993	1.86197	1.62654	0.44813	0.95457	0.47501
6	2.82727	3.17852	1.41776	1.60196	1.45617	1.98966	3.21212	0.58499
7	1.70269	1.41871	2.29714	1.67077	2.72016	1.91233	3.09389	0.40373
8	1.02058	4.53637	1.51410	1.37042	1.61835	7.34012	4.40063	0.35399
9	0.80292	47.25167	7.59341	1.67992	3.05313	44.94895	22.12177	0.31450
10	0.35026	36.09016	5.23676	1.52047	2.25351	25.99609	19.29687	0.54326
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
