state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.77645	5.77556	2.38263	1.05246	2.67181	2.79862	4.39669	0.51826
2	81.45189	0.11951	0.47544	0.81484	0.57725	0.31683	0.49477	1.15295
3	0.75562	1.94472	2.32790	0.78452	2.20884	1.25498	1.09846	0.71897
4	1.76865	2.46195	8.06132	2.30001	5.74073	0.90055	1.07207	0.13223
5	9.90629	0.32763	2.61391	2.06519	2.61395	0.39994	0.98590	0.29992
6	0.49832	1.15687	2.13650	1.61815	2.57478	1.81674	4.99827	0.25771
7	0.45762	1.25929	3.11805	1.69031	3.57886	2.54167	3.48809	0.15531
8	2.05515	0.64344	1.14452	1.42360	1.59718	2.54453	3.15306	0.40050
9	0.76475	56.37390	8.65346	1.67569	3.49193	50.50265	23.31866	0.20478
10	0.56526	44.84477	6.49214	1.51140	2.90966	29.71949	19.45471	0.42804
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
