state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.54097	1.12150	2.02851	1.59394	2.33094	1.46776	4.17952	0.43671
2	66.32426	0.11080	0.55428	0.84599	0.57025	0.30053	0.40775	1.19027
3	0.31235	1.64062	1.30860	1.14063	0.64567	2.18119	1.07226	1.24934
4	5.67460	1.56721	1.95821	1.33034	1.85973	1.05242	1.07510	0.59663
5	21.71019	0.50828	1.32286	1.22358	1.48215	0.51539	1.00665	0.70410
6	1.05335	5.61451	2.78390	1.54330	2.80921	4.29445	6.59668	0.43298
7	0.56985	8.85131	3.73186	1.49595	3.60013	8.58440	6.65215	0.21639
8	1.99747	4.45753	3.74368	1.56032	4.12740	3.26022	4.33000	0.26806
9	0.48672	80.88640	11.13084	1.70621	3.13629	68.02183	25.33594	0.18755
10	0.33023	34.07264	5.80576	1.63233	2.64289	33.09280	19.69940	0.34867
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
