state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.62270	6.43567	1.87944	0.91011	2.00195	3.38986	4.40054	0.81991
2	76.01303	0.17340	0.50006	0.79915	0.59678	0.32238	0.46673	1.15724
3	2.89283	0.33171	0.82451	0.66208	0.90510	0.38615	0.44525	1.17866
4	0.96338	0.75658	7.68537	2.30336	4.94121	0.82506	0.86297	0.19371
5	11.96013	0.49144	2.64113	2.00250	2.51453	0.40311	0.84344	0.34134
6	3.30390	0.28304	1.29912	1.56936	1.53446	1.01154	2.18662	0.46710
7	0.29540	0.61253	2.26533	1.59520	3.14283	2.46215	2.94640	0.19214
8	0.38442	9.72722	2.57986	1.43989	2.68640	15.43930	5.94976	0.23504
9	0.59908	56.44934	8.73879	1.68090	3.66242	49.63332	22.53338	0.20090
10	0.96511	24.55797	4.65678	1.62226	2.80664	20.85978	17.50367	0.40888
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
