state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	11.66404	0.63159	0.86299	1.14300	1.06753	0.85247	1.44417	0.59136
2	68.59515	0.09093	0.40337	0.72051	0.49682	0.31313	0.45519	1.24436
3	1.79776	1.68172	1.09019	0.73881	1.21659	1.01741	0.92358	1.15941
4	2.38095	2.37931	6.74072	2.26286	5.12606	0.82621	1.01942	0.13949
5	11.98916	0.23461	2.47082	2.07882	2.47944	0.45614	1.08693	0.36414
6	0.78680	12.72091	3.39077	1.79189	2.43065	5.89360	5.78989	0.27059
7	0.31537	10.15899	5.79555	1.99524	4.60868	5.52720	6.05466	0.08655
8	1.26801	10.72072	2.66504	1.51786	2.37203	14.87244	9.36415	0.25450
9	0.57988	59.19605	7.81144	1.51582	2.94420	47.38165	19.32659	0.17805
10	0.62287	22.09346	3.57666	1.22444	2.03763	10.59318	8.45557	0.47672
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
