state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	6.88457	1.27964	0.80033	1.23261	0.98690	1.10059	1.60299	0.64311
2	74.19410	0.34463	0.49871	0.74289	0.57898	0.43907	0.56218	1.18307
3	1.06038	1.62912	1.16904	0.62757	1.40676	1.10846	0.89765	1.01576
4	2.96019	1.19515	6.31703	2.28106	4.44485	0.66869	0.76279	0.25659
5	10.30691	0.46694	2.37744	2.09926	2.53664	0.47104	0.93836	0.39489
6	1.94156	4.62590	1.73937	1.72423	1.48288	2.84514	3.85638	0.47411
7	0.37974	1.34775	3.16844	1.86646	3.06750	1.93149	3.10783	0.28950
8	0.88874	16.76091	3.41977	1.55566	2.56266	19.88277	10.81808	0.36497
9	0.77212	35.65140	5.76780	1.48989	2.97226	32.01180	15.53902	0.26908
10	0.61168	5.92850	1.58974	1.22949	1.36999	5.21783	6.69021	0.53400
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
