state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	3.37945	3.81771	1.62582	0.90967	1.83045	2.20670	3.20710	0.81687
2	73.26710	0.13342	0.40467	0.75279	0.50985	0.30573	0.43648	1.18781
3	2.61283	0.57752	0.90672	0.63678	0.98480	0.49918	0.54274	1.10214
4	5.06232	0.88362	5.47642	2.27283	4.26892	0.52378	0.66030	0.25250
5	10.11965	0.34350	1.83852	1.99453	1.97951	0.36118	0.72817	0.39896
6	1.86845	0.28900	1.01450	1.50434	1.25617	0.94935	1.99824	0.47168
7	0.70372	0.88203	3.30883	1.78121	4.27902	2.07582	4.01263	0.17332
8	1.30946	1.38936	1.11627	1.29163	1.60388	2.39754	4.72446	0.31833
9	1.00878	43.71803	7.24013	1.69967	3.23321	42.35652	22.60745	0.23367
10	0.66824	31.10059	4.74326	1.41755	2.27911	20.09666	14.22089	0.53951
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
