state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.08759	1.28746	2.50901	1.33068	3.29486	1.26130	2.58773	0.36606
2	86.69314	0.46201	0.78946	0.91723	0.79580	0.46621	0.58886	1.10029
4	0.56127	2.13915	2.02503	1.67027	2.11875	2.31287	1.54276	0.35037
5	8.65918	0.86674	1.95434	1.51867	2.18809	0.71236	1.59220	0.33906
6	0.55832	2.82974	2.10242	1.44182	2.63442	3.15510	7.12688	0.36089
7	0.47596	16.04298	3.50416	1.53857	2.21360	16.98358	7.37541	0.34384
8	1.29267	5.74239	2.40278	1.63569	2.39940	6.30078	4.59899	0.40637
9	1.40221	23.89392	4.77832	1.60659	2.99061	23.34589	12.26957	0.32846
10	0.26965	3.65266	2.34433	1.38576	2.83697	4.74597	12.72532	0.35892
Base	100	0.68328	2.44878	42.07742	0.00093	0.00105	3.41075	36.85684
